Country,Code,Year,Total_population,Health_expenditure,Life_expectancy,Continent
Paraguay,PRY,1995,4777000,286.68421798,68.911,South America
Peru,PER,1995,24299000,200.84690071,68.026,South America
Philippines,PHL,1995,69784000,99.58085928,66.265,Asia
Poland,POL,1995,38459000,406.86543187,71.8926829268293,Europe
Portugal,PRT,1995,10091000,1017.32810756,75.3121951219512,Europe
Romania,ROU,1995,22965000,183.47300792,69.4560975609756,Europe
Russia,RUS,1995,148227008,301.10656319,64.6907317073171,Europe
Rwanda,RWA,1995,5836000,20.72759145,31.977,Africa
Saudi Arabia,SAU,1995,18639000,755.28938344,70.922,Asia
Senegal,SEN,1995,8690000,50.90094584,57.405,Africa
Serbia,SRB,1995,9884000,246.30329734,,Europe
Sierra Leone,SLE,1995,4304000,88.16260253,35.729,Africa
Singapore,SGP,1995,3526000,972.14481843,76.2951219512195,Asia
Slovakia,SVK,1995,5375000,505.17694943,72.2536585365854,Europe
Slovenia,SVN,1995,1991000,972.26574533,73.9585365853659,Europe
South Africa,ZAF,1995,41436000,554.92681328,61.226,Africa
South Korea,KOR,1995,45293000,492.98029463,73.7,Asia
Spain,ESP,1995,39787000,1192.67691395,77.9807317073171,Europe
Sri Lanka,LKA,1995,18243000,101.58003055,69.31,Asia
Sudan,SDN,1995,24095000,63.3532094,56.716,Africa
Sweden,SWE,1995,8836000,1745.09564282,78.7404878048781,Europe
Switzerland,CHE,1995,6996000,2572.81641878,78.4170731707317,Europe
Syria,SYR,1995,14345000,167.90563025,,Asia
Tajikistan,TJK,1995,5765000,28.29212317,63.185,Asia
Tanzania,TZA,1995,29649000,37.40402808,49.46,Africa
Thailand,THA,1995,59467000,236.747696293326,70.192,Asia
Togo,TGO,1995,4226000,38.43904212,54.756,Africa
Trinidad and Tobago,TTO,1995,1254000,522.09786436,68.344,North America
Tunisia,TUN,1995,9125000,279.10048297,71.496,Africa
Turkey,TUR,1995,58486000,180.16971719,66.963,Europe
Turkmenistan,TKM,1995,4208000,103.38494824,62.85,Asia
Uganda,UGA,1995,20413000,45.70373496,44.22,Africa
Ukraine,UKR,1995,50904000,262.79939969,67.1370731707317,Europe
United Arab Emirates,ARE,1995,2415000,2066.4761756,72.943,Asia
United Kingdom,GBR,1995,57932000,1349.74957198,76.8365853658537,Europe
United States,USA,1995,265164000,3788.30984177,75.6219512195122,North America
Uruguay,URY,1995,3224000,1060.04413154,73.613,South America
Uzbekistan,UZB,1995,22791000,109.3075234,66.396,Asia
Venezuela,VEN,1995,21931000,605.99677074,70.893,South America
Vietnam,VNM,1995,74910000,73.93391547,71.968,Asia
Yemen,YEM,1995,14913000,124.7025598,59.275,Asia
Zambia,ZMB,1995,9097000,73.03062,43.166,Africa
