Country,Code,Year,Total_population,Health_expenditure,Life_expectancy,Continent
Guatemala,GTM,1995,10408000,160.74635226,65.09,North America
Guatemala,GTM,2014,15923000,472.85084974,72.869,North America
Guinea,GIN,1995,7270000,26.91544636,51.717,Africa
Guinea,GIN,2014,11151000,68.45821523,58.846,Africa
Guinea-Bissau,GNB,1995,1089000,129.82506255,50.969,Africa
Guinea-Bissau,GNB,2014,1692000,90.95910835,56.598,Africa
Haiti,HTI,1995,7745000,59.65520671,56.316,North America
Haiti,HTI,2014,10549000,130.84864328,62.757,North America
Honduras,HND,1995,5709000,130.18168966,68.898,North America
Honduras,HND,2014,8956000,399.74980915,73.181,North America
Hungary,HUN,1995,10349000,658.55632919,69.7917073170732,Europe
Hungary,HUN,2014,9805000,1826.67506469,75.7634146341463,Europe
India,IND,1995,963923008,60.30681297,60.408,Asia
India,IND,2014,1295601024,267.40862498,68.021,Asia
Indonesia,IDN,1995,196934000,85.89906302,65.032,Asia
Indonesia,IDN,2014,255128000,299.40513924,68.856,Asia
Iran,IRN,1995,61443000,293.60710246,68.326,Asia
Iran,IRN,2014,77466000,1081.67150536,75.466,Asia
Ireland,IRL,1995,3592000,1192.6182615,75.6175609756098,Europe
Ireland,IRL,2014,4627000,3801.06423038,81.3487804878049,Europe
Israel,ISR,1995,5271000,1440.23266074,77.4512195121951,Asia
Israel,ISR,2014,7854000,2599.13225388,82.1536585365854,Asia
Italy,ITA,1995,57174000,1559.33449502,78.1707317073171,Europe
Italy,ITA,2014,60410000,3238.88900053,83.090243902439,Europe
Jamaica,JAM,1995,2534000,261.43233339,71.99,North America
Jamaica,JAM,2014,2875000,476.17910904,75.689,North America
Japan,JPN,1995,126365000,1533.51562077,79.5363414634147,Asia
Japan,JPN,2014,128169000,3726.67637444,83.5878048780488,Asia
Jordan,JOR,1995,4589000,450.65887569,70.885,Asia
Jordan,JOR,2014,8919000,797.59333291,74.034,Asia
Kazakhstan,KAZ,1995,15839000,270.11166849,64.919512195122,Asia
