Country,Code,Male_expectancy,Women_expectancy,Continent
Palestine,PSE,72.565,75.92399999999999,Asia
Panama,PAN,75.616,81.90100000000001,North America
Papua New Guinea,PNG,63.482,66.058,Oceania
Paraguay,PRY,72.35600000000001,76.524,South America
Peru,PER,74.288,79.714,South America
Philippines,PHL,67.39,75.623,Asia
Poland,POL,75.025,82.72200000000001,Europe
Portugal,PRT,79.257,84.98700000000001,Europe
Puerto Rico,PRI,76.726,83.617,North America
Qatar,QAT,79.314,82.146,Asia
Reunion,REU,77.93,84.11399999999999,Africa
Romania,ROU,72.753,79.642,Europe
Russia,RUS,67.329,77.922,Europe
Rwanda,RWA,67.108,71.456,Africa
Saint Lucia,LCA,74.977,77.722,North America
Saint Vincent and the Grenadines,VCT,70.395,75.263,North America
Samoa,WSM,71.44,75.60600000000001,Oceania
Sao Tome and Principe,STP,68.15899999999999,73.029,Africa
Saudi Arabia,SAU,74.079,76.919,Asia
Senegal,SEN,66.014,70.203,Africa
Serbia,SRB,73.556,78.752,Europe
Seychelles,SYC,69.985,77.462,Africa
Sierra Leone,SLE,54.213,55.875,Africa
Singapore,SGP,81.695,85.86399999999999,Asia
Slovakia,SVK,74.193,81.084,Europe
Slovenia,SVN,78.77199999999999,84.156,Europe
Solomon Islands,SLB,71.415,75.014,Oceania
Somalia,SOM,56.011,59.443000000000005,Africa
South Africa,ZAF,60.966,67.93,Africa
South Korea,KOR,80.122,86.10600000000001,Asia
South Sudan,SSD,56.593,59.64,Africa
Spain,ESP,80.96,86.374,Europe
Sri Lanka,LKA,73.779,80.399,Asia
Sudan,SDN,63.665,67.429,Africa
Suriname,SUR,68.577,75.195,South America
Swaziland,SWZ,56.515,65.411,Africa
Sweden,SWE,81.209,84.678,Europe
Switzerland,CHE,82.044,85.72,Europe
Syria,SYR,69.387,78.419,Asia
Taiwan,TWN,77.988,83.33200000000001
Tajikistan,TJK,69.12100000000001,73.59899999999999,Asia
Tanzania,TZA,64.009,67.587,Africa
Thailand,THA,73.67699999999999,81.062,Asia
Timor,TLS,67.692,71.869,Asia
Togo,TGO,60.428999999999995,62.239,Africa
Tonga,TON,69.057,73.01899999999999,Oceania
Trinidad and Tobago,TTO,70.987,76.352,North America
Tunisia,TUN,74.883,78.903,Africa
Turkey,TUR,74.984,80.76899999999999
Turkmenistan,TKM,64.813,71.852,Asia
Uganda,UGA,61.317,66.001,Africa
Ukraine,UKR,67.221,76.96600000000001,Europe
United Arab Emirates,ARE,77.442,79.458,Asia
United Kingdom,GBR,79.763,83.06,Europe
United States,USA,76.375,81.452,North America
United States Virgin Islands,VIR,78.148,83.21799999999999,North America
Uruguay,URY,74.29,81.595,South America
Uzbekistan,UZB,69.697,73.968,Asia
Vanuatu,VUT,69.11399999999999,72.322,Oceania
Venezuela,VEN,68.324,76,South America
Vietnam,VNM,71.407,79.609,Asia
Western Sahara,ESH,68.831,72.565,Africa
Yemen,YEM,64.491,67.885,Asia
Zambia,ZMB,61.125,67.236,Africa
Zimbabwe,ZWE,60.037,63.163999999999994,Africa
